word,conv,word_10,label_10,word_22,label_22,word_5,label_5,word_21,label_21,word_1,label_1
15,0,15,0,15,0,15,0,15,0,15,0
percent,0,percent,0,percent,0,percent,0,percent,0,percent,0
this,0,this,0,this,0,this,0,this,0,this,0
year,0,year,0,year,0,year,0,year,0,year,0
Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0
Arnold,0,Arnold,0,Arnold,0,Arnold,0,Arnold,0,Arnold,0
says,0,says,0,says,0,says,0,says,0,says,0
In,0,In,0,In,0,In,0,In,0,In,0
part,0,part,0,part,0,part,0,part,0,part,0
these,0,these,0,these,0,these,0,these,0,these,0
increased,0,increased,0,increased,0,increased,0,increased,0,increased,0
prices,0,prices,0,prices,0,prices,0,prices,0,prices,0
compensate,0,compensate,1,compensate,1,compensate,0,compensate,1,compensate,0
Santas,0,Santas,0,Santas,0,Santas,0,Santas,0,Santas,0
for,0,for,0,for,0,for,0,for,0,for,0
the,0,the,0,the,0,the,0,the,0,the,0
rising,1,rising,1,rising,1,rising,0,rising,1,rising,0
cost,0,cost,0,cost,0,cost,0,cost,0,cost,0
of,0,of,0,of,0,of,0,of,0,of,0
doing,0,doing,0,doing,0,doing,0,doing,0,doing,0
business,0,business,0,business,0,business,0,business,0,business,0
he,0,he,0,he,0,he,0,he,0,he,0
says,0,says,0,says,0,says,0,says,0,says,0
including,0,including,0,including,0,including,0,including,0,including,0
higher,1,higher,0,higher,0,higher,0,higher,0,higher,0
fuel,0,fuel,0,fuel,0,fuel,0,fuel,0,fuel,0
costs,0,costs,0,costs,0,costs,0,costs,0,costs,0
and,0,and,0,and,0,and,0,and,0,and,0
more,0,more,0,more,0,more,0,more,0,more,0
expensive,0,expensive,0,expensive,0,expensive,0,expensive,0,expensive,0
Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0
suits,0,suits,0,suits,0,suits,0,suits,0,suits,0
But,0,But,0,But,0,But,0,But,0,But,0
they,0,they,0,they,0,they,0,they,0,they,0
also,0,also,0,also,0,also,0,also,0,also,0
reflect,1,reflect,1,reflect,1,reflect,0,reflect,0,reflect,0
the,0,the,0,the,0,the,0,the,0,the,0
reality,0,reality,0,reality,0,reality,0,reality,0,reality,0
that,0,that,0,that,0,that,0,that,0,that,0
amidst,0,amidst,0,amidst,0,amidst,0,amidst,0,amidst,0
surging,1,surging,1,surging,1,surging,0,surging,1,surging,0
demand,0,demand,0,demand,0,demand,0,demand,0,demand,0
there,0,there,0,there,0,there,0,there,0,there,0
are,0,are,0,are,0,are,0,are,0,are,0
only,0,only,0,only,0,only,0,only,0,only,0
so,0,so,0,so,0,so,0,so,0,so,0
many,0,many,0,many,0,many,0,many,0,many,0
Santas,0,Santas,0,Santas,0,Santas,0,Santas,0,Santas,0
to,0,to,0,to,0,to,0,to,0,to,0
go,0,go,0,go,0,go,0,go,0,go,0
around,0,around,0,around,0,around,0,around,0,around,0
Call,0,Call,0,Call,0,Call,0,Call,0,Call,0
it,0,it,0,it,0,it,0,it,0,it,0
Santaflation,0,Santaflation,0,Santaflation,1,Santaflation,1,Santaflation,0,Santaflation,1
Iranian,0,Iranian,0,Iranian,0,Iranian,0,Iranian,0,Iranian,0
protesters,0,protesters,0,protesters,0,protesters,0,protesters,0,protesters,0
call+for,1,call,0,call,0,call,0,call,0,call,0
three-day,0,for,0,for,0,for,0,for,0,for,0
strike,1,three-day,0,three-day,0,three-day,0,three-day,0,three-day,0
as,0,strike,0,strike,0,strike,0,strike,0,strike,0
pressure,1,as,0,as,0,as,0,as,0,as,0
on,1,pressure,1,pressure,1,pressure,0,pressure,1,pressure,0
regime,0,on,0,on,0,on,0,on,0,on,0
builds,1,regime,0,regime,0,regime,0,regime,0,regime,0
State,0,builds,1,builds,1,builds,0,builds,0,builds,0
media,0,State,0,State,0,State,0,State,0,State,0
distance,1,media,0,media,0,media,0,media,0,media,0
themselves,0,distance,0,distance,0,distance,0,distance,0,distance,0
from,1,themselves,0,themselves,0,themselves,0,themselves,0,themselves,0
claim,0,from,0,from,0,from,0,from,0,from,0
morality,0,claim,0,claim,0,claim,0,claim,0,claim,0
police,0,morality,0,morality,0,morality,0,morality,0,morality,0
have,0,police,0,police,0,police,0,police,0,police,0
been,0,have,0,have,0,have,0,have,0,have,0
shut+down,1,been,0,been,0,been,0,been,0,been,0
after,1,shut,0,shut,0,shut,0,shut,0,shut,0
Mahsa,0,down,0,down,0,down,0,down,0,down,0
Amini,0,after,0,after,0,after,0,after,0,after,0
death,0,Mahsa,0,Mahsa,0,Mahsa,0,Mahsa,0,Mahsa,0
Protesters,0,Amini,0,Amini,0,Amini,0,Amini,0,Amini,0
in,0,death,0,death,0,death,0,death,0,death,0
Iran,0,Protesters,0,Protesters,0,Protesters,0,Protesters,0,Protesters,0
have,0,inÃ‚,0,inÃ‚,0,inÃ‚,0,inÃ‚,0,inÃ‚,0
called+for,1,IranÃ‚,0,IranÃ‚,0,IranÃ‚,0,IranÃ‚,0,IranÃ‚,0
a,0,have,0,have,0,have,0,have,0,have,0
three-day,0,called,0,called,0,called,0,called,0,called,0
strike,1,for,0,for,0,for,0,for,0,for,0
this,0,a,0,a,0,a,0,a,0,a,0
week,0,three-day,0,three-day,0,three-day,0,three-day,0,three-day,0
amid,1,strike,0,strike,0,strike,0,strike,0,strike,0
conflicting,0,this,0,this,0,this,0,this,0,this,0
reports,0,week,0,week,0,week,0,week,0,week,0
that,0,amid,0,amid,0,amid,0,amid,0,amid,0
the,0,conflicting,0,conflicting,0,conflicting,0,conflicting,0,conflicting,0
nation,0,reports,0,reports,0,reports,0,reports,0,reports,0
's,0,that,0,that,0,that,0,that,0,that,0
morality,0,the,0,the,0,the,0,the,0,the,0
police,0,nation,0,nation,0,nation,0,nation,0,nation,0
had,0,'s,0,'s,0,'s,0,'s,0,'s,0
been,0,morality,0,morality,0,morality,0,morality,0,morality,0
shut+down,1,police,0,police,0,police,0,police,0,police,0
and,0,had,0,had,0,had,0,had,0,had,0
as,0,been,0,been,0,been,0,been,0,been,0
the,0,shut,0,shut,0,shut,0,shut,0,shut,0
US,0,down,0,down,0,down,0,down,0,down,0
said,0,and,0,and,0,and,0,and,0,and,0
the,0,as,0,as,0,as,0,as,0,as,0
leadership,1,the,0,the,0,the,0,the,0,the,0
in,0,US,0,US,0,US,0,US,0,US,0
Tehran,0,said,0,said,0,said,0,said,0,said,0
had,0,the,0,the,0,the,0,the,0,the,0
locked,1,leadership,0,leadership,0,leadership,0,leadership,0,leadership,0
itself,0,in,0,in,0,in,0,in,0,in,0
into,1,Tehran,0,Tehran,0,Tehran,0,Tehran,0,Tehran,0
a,0,had,0,had,0,had,0,had,0,had,0
vicious+circle,1,locked,1,locked,1,locked,0,locked,1,locked,0
that,0,itself,0,itself,0,itself,0,itself,0,itself,0
had,0,into,0,into,0,into,0,into,0,into,0
cut,1,a,0,a,0,a,0,a,0,a,0
it,0,vicious,1,vicious,1,vicious,0,vicious,1,vicious,0
off,1,cycle,0,cycle,0,cycle,1,cycle,0,cycle,1
from,1,that,0,that,0,that,0,that,0,that,0
its,0,had,0,had,0,had,0,had,0,had,0
own,0,cut,0,cut,1,cut,0,cut,1,cut,0
people,0,it,0,it,0,it,0,it,0,it,0
and,0,off,0,off,0,off,0,off,0,off,0
the,0,from,0,from,0,from,0,from,0,from,0
international,0,its,0,its,0,its,0,its,0,its,0
community,1,own,0,own,0,own,0,own,0,own,0
The,0,people,0,people,0,people,0,people,0,people,0
call,1,and,0,and,0,and,0,and,0,and,0
steps,1,the,0,the,0,the,0,the,0,the,0
up,1,international,0,international,0,international,0,international,0,international,0
pressure,1,community,0,community,0,community,0,community,0,community,0
on,1,The,0,The,0,The,0,The,0,The,0
Iranian,0,call,0,call,0,call,0,call,0,call,0
authorities,0,steps,0,steps,0,steps,0,steps,0,steps,0
after,1,up,1,up,1,up,0,up,1,up,0
the,0,pressure,1,pressure,1,pressure,0,pressure,1,pressure,0
attorney,0,on,0,on,0,on,0,on,0,on,0
general,0,Iranian,0,Iranian,0,Iranian,0,Iranian,0,Iranian,0
said,0,authorities,0,authorities,0,authorities,0,authorities,0,authorities,0
this,0,after,0,after,0,after,0,after,0,after,0
weekend,0,the,0,the,0,the,0,the,0,the,0
that,0,attorney,0,attorney,0,attorney,0,attorney,0,attorney,0
the,0,general,0,general,0,general,0,general,0,general,0
morality,0,said,0,said,0,said,0,said,0,said,0
police,0,this,0,this,0,this,0,this,0,this,0
whose,0,weekend,0,weekend,0,weekend,0,weekend,0,weekend,0
detention,0,that,0,that,0,that,0,that,0,that,0
of,0,the,0,the,0,the,0,the,0,the,0
a,0,morality,0,morality,0,morality,0,morality,0,morality,0
young,0,police,0,police,0,police,0,police,0,police,0
woman,0,whose,0,whose,0,whose,0,whose,0,whose,0
triggered,1,detention,0,detention,0,detention,0,detention,0,detention,0
months,0,of,0,of,0,of,0,of,0,of,0
of,0,a,0,a,0,a,0,a,0,a,0
protests,0,young,0,young,0,young,0,young,0,young,0
had,0,woman,0,woman,0,woman,0,woman,0,woman,0
been,0,triggered,1,triggered,1,triggered,0,triggered,1,triggered,0
shut+down,1,months,0,months,0,months,0,months,0,months,0
There,0,of,0,of,0,of,0,of,0,of,0
was,0,protests,0,protests,0,protests,0,protests,0,protests,0
no,0,had,0,had,0,had,0,had,0,had,0
confirmation,0,been,0,been,0,been,0,been,0,been,0
of,0,shut,0,shut,0,shut,0,shut,0,shut,0
the,0,down,0,down,0,down,0,down,0,down,0
closure,1,There,0,There,0,There,0,There,0,There,0
from,1,was,0,was,0,was,0,was,0,was,0
the,0,no,0,no,0,no,0,no,0,no,0
interior,1,confirmation,0,confirmation,0,confirmation,0,confirmation,0,confirmation,0
ministry,0,of,0,of,0,of,0,of,0,of,0
which,0,the,0,the,0,the,0,the,0,the,0
is,0,closure,0,closure,0,closure,0,closure,0,closure,0
in,0,from,0,from,0,from,0,from,0,from,0
charge,0,the,0,the,0,the,0,the,0,the,0
of,0,interior,0,interior,0,interior,0,interior,0,interior,0
the,0,ministry,0,ministry,0,ministry,0,ministry,0,ministry,0
morality,0,which,0,which,0,which,0,which,0,which,0
police,0,is,0,is,0,is,0,is,0,is,0
and,0,in,0,in,0,in,0,in,0,in,0
Iranian,0,charge,0,charge,0,charge,0,charge,0,charge,0
state,0,of,0,of,0,of,0,of,0,of,0
media,0,the,0,the,0,the,0,the,0,the,0
said,0,morality,0,morality,0,morality,0,morality,0,morality,0
the,0,police,0,police,0,police,0,police,0,police,0
attorney,0,and,0,and,0,and,0,and,0,and,0
general,0,Iranian,0,Iranian,0,Iranian,0,Iranian,0,Iranian,0
Mohammad,0,state,0,state,0,state,0,state,0,state,0
Jafar,0,media,0,media,0,media,0,media,0,media,0
Montazeri,0,said,0,said,0,said,0,said,0,said,0
was,0,the,0,the,0,the,0,the,0,the,0
not,0,attorney,0,attorney,0,attorney,0,attorney,0,attorney,0
responsible,0,general,0,general,0,general,0,general,0,general,0
for,0,Mohammad,0,Mohammad,0,Mohammad,0,Mohammad,0,Mohammad,0
overseeing,1,Jafar,0,Jafar,0,Jafar,0,Jafar,0,Jafar,0
the,0,Montazeri,0,Montazeri,0,Montazeri,0,Montazeri,0,Montazeri,0
force,1,was,0,was,0,was,0,was,0,was,0
On,1,not,0,not,0,not,0,not,0,not,0
Sunday,0,responsible,0,responsible,0,responsible,0,responsible,0,responsible,0
after,1,for,0,for,0,for,0,for,0,for,0
a,0,overseeing,0,overseeing,0,overseeing,0,overseeing,0,overseeing,0
closed,1,the,0,the,0,the,0,the,0,the,0
meeting,0,force,0,force,0,force,0,force,0,force,0
with,0,On,0,On,0,On,0,On,0,On,0
several,0,Sunday,0,Sunday,0,Sunday,0,Sunday,0,Sunday,0
senior,0,after,0,after,0,after,0,after,0,after,0
Iranian,0,a,0,a,0,a,0,a,0,a,0
officials,0,closed,0,closed,0,closed,0,closed,0,closed,0
including,0,meeting,0,meeting,0,meeting,0,meeting,0,meeting,0
President,0,with,0,with,0,with,0,with,0,with,0
Ebrahim,0,several,0,several,0,several,0,several,0,several,0
Raisi,0,senior,0,senior,0,senior,0,senior,0,senior,0
lawmaker,0,Iranian,0,Iranian,0,Iranian,0,Iranian,0,Iranian,0
Nezamoddin,0,officials,0,officials,0,officials,0,officials,0,officials,0
Mousavi,0,including,0,including,0,including,0,including,0,including,0
told,0,President,0,President,0,President,0,President,0,President,0
semi-official,0,Ebrahim,0,Ebrahim,0,Ebrahim,0,Ebrahim,0,Ebrahim,0
news,0,Raisi,0,Raisi,0,Raisi,0,Raisi,0,Raisi,0
agency,0,lawmaker,0,lawmaker,0,lawmaker,0,lawmaker,0,lawmaker,0
Isna,0,Nezamoddin,0,Nezamoddin,0,Nezamoddin,0,Nezamoddin,0,Nezamoddin,0
that,0,Mousavi,0,Mousavi,0,Mousavi,0,Mousavi,0,Mousavi,0
the,0,told,0,told,0,told,0,told,0,told,0
government,0,semi-official,0,semi-official,0,semi-official,0,semi-official,0,semi-official,0
was,0,news,0,news,0,news,0,news,0,news,0
paying,1,agency,0,agency,0,agency,0,agency,0,agency,0
attention,0,Isna,0,Isna,0,Isna,0,Isna,0,Isna,0
to,0,that,0,that,0,that,0,that,0,that,0
the,0,the,0,the,0,the,0,the,0,the,0
people,0,government,0,government,0,government,0,government,0,government,0
's,0,was,0,was,0,was,0,was,0,was,0
real,0,paying,0,paying,0,paying,0,paying,0,paying,0
demands,0,attention,0,attention,0,attention,0,attention,1,attention,0
though,0,to,0,to,0,to,0,to,0,to,0
he,0,the,0,the,0,the,0,the,0,the,0
did,0,people,0,people,0,people,0,people,0,people,0
not,0,'s,0,'s,0,'s,0,'s,0,'s,0
address,1,real,0,real,0,real,0,real,0,real,0
the,0,demands,0,demands,0,demands,0,demands,0,demands,0
reported,0,though,0,though,0,though,0,though,0,though,0
closure,1,he,0,he,0,he,0,he,0,he,0
of,0,did,0,did,0,did,0,did,0,did,0
the,0,not,0,not,0,not,0,not,0,not,0
morality,0,address,0,address,0,address,0,address,0,address,0
police,0,the,0,the,0,the,0,the,0,the,0
Hundreds,0,reported,0,reported,0,reported,0,reported,0,reported,0
of,0,closure,0,closure,0,closure,0,closure,0,closure,0
people,0,of,0,of,0,of,0,of,0,of,0
have,0,the,0,the,0,the,0,the,0,the,0
been,0,morality,0,morality,0,morality,0,morality,0,morality,0
killed,0,police,0,police,0,police,0,police,0,police,0
in,1,Hundreds,0,Hundreds,0,Hundreds,0,Hundreds,0,Hundreds,0
the,0,of,0,of,0,of,0,of,0,of,0
unrest,0,people,0,people,0,people,0,people,0,people,0
that,0,have,0,have,0,have,0,have,0,have,0
erupted,1,been,0,been,0,been,0,been,0,been,0
in,1,killed,0,killed,0,killed,0,killed,0,killed,0
September,0,in,0,in,0,in,0,in,0,in,0
after,1,the,0,the,0,the,0,the,0,the,0
the,0,unrest,0,unrest,0,unrest,0,unrest,0,unrest,0
death,0,that,0,that,0,that,0,that,0,that,0
in,1,erupted,1,erupted,1,erupted,0,erupted,1,erupted,0
custody,0,in,0,in,0,in,0,in,0,in,0
of,0,September,0,September,0,September,0,September,0,September,0
Mahsa,0,after,0,after,0,after,0,after,0,after,0
Amini,0,the,0,the,0,the,0,the,0,the,0
a,0,death,0,death,0,death,0,death,0,death,0
22-year-old,0,in,0,in,0,in,0,in,0,in,0
Kurdish,0,custody,0,custody,0,custody,0,custody,0,custody,0
Iranian,0,of,0,of,0,of,0,of,0,of,0
woman,0,Mahsa,0,Mahsa,0,Mahsa,0,Mahsa,0,Mahsa,0
who,0,Amini,0,Amini,0,Amini,0,Amini,0,Amini,0
was,0,a,0,a,0,a,0,a,0,a,0
detained,0,22-year-old,0,22-year-old,0,22-year-old,0,22-year-old,0,22-year-old,0
by,0,Kurdish,0,Kurdish,0,Kurdish,0,Kurdish,0,Kurdish,0
the,0,Iranian,0,Iranian,0,Iranian,0,Iranian,0,Iranian,0
morality,0,woman,0,woman,0,woman,0,woman,0,woman,0
police,0,who,0,who,0,who,0,who,0,who,0
for,0,was,0,was,0,was,0,was,0,was,0
breaking,1,detained,0,detained,0,detained,0,detained,0,detained,0
hijab,0,by,0,by,0,by,0,by,0,by,0
rules,0,the,0,the,0,the,0,the,0,the,0
AI,0,morality,0,morality,0,morality,0,morality,0,morality,0
fuelling,1,police,0,police,0,police,0,police,0,police,0
dating,0,for,0,for,0,for,0,for,0,for,0
and,0,breaking,0,breaking,0,breaking,0,breaking,0,breaking,0
social,0,hijab,0,hijab,0,hijab,0,hijab,0,hijab,0
media,0,rules,0,rules,0,rules,0,rules,0,rules,0
fraud,0,AI,0,AI,0,AI,1,AI,0,AI,0
EU,0,fuelling,1,fuelling,1,fuelling,1,fuelling,1,fuelling,1
policy,0,dating,0,dating,0,dating,0,dating,0,dating,0
agency,0,and,0,and,0,and,0,and,0,and,0
says,0,social,0,social,0,social,0,social,0,social,0
Artificial+intelligence,0,media,0,media,0,media,0,media,0,media,0
enables�,0,fraud,0,fraud,0,fraud,0,fraud,0,fraud,0
criminals,0,EU,0,EU,0,EU,0,EU,0,EU,0
to�,0,police,0,police,0,police,0,police,0,police,0
target,1,agency,0,agency,0,agency,0,agency,0,agency,0
thousands,0,says,0,says,0,says,0,says,0,says,0
of,0,Artificial,0,Artificial,0,Artificial,0,Artificial,0,Artificial,0
victims,0,intelligence,0,intelligence,0,intelligence,0,intelligence,0,intelligence,0
at+once,0,enables,0,enables,0,enables,0,enables,0,enables,0
say,0,criminals,0,criminals,0,criminals,0,criminals,0,criminals,0
Europol�,0,to,0,to,0,to,0,to,0,to,0
experts,0,target,0,target,1,target,0,target,0,target,0
Artificial+intelligence,0,thousands,0,thousands,0,thousands,0,thousands,0,thousands,0
