Features,0 shot - conventional metaphor ,0 shot - lexicalized metaphor ,0 shot - metaphor ,0 shot - conventional metaphor + only NVAJ,0 shot - lexicalized metaphor + only NVAJ,0 shot - metaphor + only NVAJ 
Task Description with Instruction,"Using the checklist below, detect conventional metaphors:
- Tokenize each input sentence by space.
- Output every token, one token per row.
- Check if the token's meaning is conventional metaphor in context.
- Label conventional metaphors with ':1'.
- Use an empty row to separate word lists from different sentences.


Now, apply to: {text}","Using the checklist below, identify lexicalized metaphors:
- Tokenize the text by space.
- Output every token, one token per row.
- Check if the token's meaning is lexicalized metaphor in context.
- Label lexicalized metaphors with ':1'.

Now, apply to: {text}","Using the checklist below, identify metaphors:
- Tokenize the text by space.
- Output every token, one token per row.
- Check if the token's meaning is metaphor in context.
- Label metaphors with ':1'.

Now, apply to: {text}","Using the checklist below, identify conventional metaphors:
- Tokenize the text by space.
- Output every token, one token per row.
- Check if the token's meaning is conventional metaphor in context.
- Label conventional metaphors with ':1'.
Only mark nouns, verbs and adjectives. 
Now, apply to: {text}","Using the checklist below, identify lexicalized metaphors:
- Tokenize the text by space.
- Output every token, one token per row.
- Check if the token's meaning is lexicalized metaphor in context.
- Label lexicalized metaphors with ':1'.
Only mark nouns, verbs and adjectives. 
Now, apply to: {text}","Using the checklist below, identify metaphors:
- Tokenize the text by space.
- Output every token, one token per row.
- Check if the token's meaning is metaphor in context.
- Label metaphors with ':1'.
Only mark nouns, verbs and adjectives. 
Now, apply to: {text}"
Specific Role or Approach,"Assume the role of a research assistant tasked with analyzing a list of sentences for conventional metaphor usage. Your objective is to create a full list of  words for each sentence, flagging any conventional metaphors with ':1'. The desired format for your response should be in the form of 'word' or 'word:1', and ensure one word per row. Use an empty row to separate word lists from different sentences.

Sentences:{text}","Assume the role of a research assistant tasked with analyzing a piece of text for metaphor usage. Your objective is to create a list of the text's words, flagging any lexicalized metaphors with ':1'. The desired format for your response should be in the form of 'word' or 'word:1', and ensure one word per row.

Sentences:{text}","Assume the role of a research assistant tasked with analyzing a piece of text for metaphor usage. Your objective is to create a list of the text's words, flagging any metaphors with ':1'. The desired format for your response should be in the form of 'word' or 'word:1', and ensure one word per row.

Text:{text}","Assume the role of a research assistant tasked with analyzing a piece of text for metaphor usage. Your objective is to create a list of the text's words, flagging any conventional metaphors with ':1'. The desired format for your response should be in the form of 'word' or 'word:1', and ensure one word per row.Only mark nouns, verbs and adjectives. 

Text:{text}","Assume the role of a research assistant tasked with analyzing a piece of text for metaphor usage. Your objective is to create a list of the text's words, flagging any lexicalized metaphors with ':1'. The desired format for your response should be in the form of 'word' or 'word:1', and ensure one word per row.Only mark nouns, verbs and adjectives. 

Text:{text}","Assume the role of a research assistant tasked with analyzing a piece of text for metaphor usage. Your objective is to create a list of the text's words, flagging any metaphors with ':1'. The desired format for your response should be in the form of 'word' or 'word:1', and ensure one word per row.Only mark nouns, verbs and adjectives. 

Text:{text}"
Specific Role or Approach,"Write a 'parser' that processes the following sentences. Each sentence should be output each word per row, and if a word is used as a conventional metaphor, it should be followed by ':1'. Structure your output as though it's a parsed array: 'word' or 'word:1'."" Use an empty row to separate word lists from different sentences.

Sentences:{text}","Write a 'parser' that processes the following text. It should output each word per row, and if a word is used as a lexicalized metaphor, it should be followed by ':1'. Structure your output as though it's a parsed array: 'word' or 'word:1'."" 

Sentences:{text}","Write a 'parser' that processes the following text. It should output each word per row, and if a word is used as a metaphor, it should be followed by ':1'. Structure your output as though it's a parsed array: 'word' or 'word:1'."" 

Text:{text}","Write a 'parser' that processes the following text. It should output each word per row, and if a word is used as a conventional metaphor, it should be followed by ':1'. Structure your output as though it's a parsed array: 'word' or 'word:1'."" 
Only mark nouns, verbs and adjectives. 
Text:{text}","Write a 'parser' that processes the following text. It should output each word per row, and if a word is used as a lexicalized metaphor, it should be followed by ':1'. Structure your output as though it's a parsed array: 'word' or 'word:1'."" 
Only mark nouns, verbs and adjectives. 
Text:{text}","Write a 'parser' that processes the following text. It should output each word per row, and if a word is used as a metaphor, it should be followed by ':1'. Structure your output as though it's a parsed array: 'word' or 'word:1'."" 
Only mark nouns, verbs and adjectives. 
Text:{text}"
Specific Role or Approach,"Let's work on a conventional metaphor detection  task together. I will give you a set of sentences, and I need your help to detect any conventional metaphors used in it. List each word and append ':1' to any word that represents a conventional metaphor, one word per row. The final output should be a sequence where conventional metaphors are clearly marked, like this: 'word:1'. Use an empty row to separate word lists from different sentences.

Sentences for labelling:{text}","Let's work on a lexicalized metaphor detection  task together. I will give you a text, and I need your help to identify any lexicalized metaphors used in it. List each word and append ':1' to any word that represents a lexicalized metaphor. The final output should be a sequence where lexicalized metaphors are clearly marked, like this: 'word:1'.

Text for labelling:{text}","Let's work on a metaphor detection task together. I will give you a text, and I need your help to identify any metaphors used in it. List each word and append ':1' to any word that represents a metaphor. The final output should be a sequence where metaphors are clearly marked, like this: 'word:1'.

Text for labelling:{text}","Let's work on a conventional metaphor detection  task together. I will give you a text, and I need your help to identify any conventional metaphors used in it. List each word and append ':1' to any word that represents a conventional metaphor. The final output should be a sequence where conventional metaphors are clearly marked, like this: 'word:1'.Only mark nouns, verbs and adjectives. 

Text for labelling:{text}","Let's work on a lexicalized metaphor detection  task together. I will give you a text, and I need your help to identify any lexicalized metaphors used in it. List each word and append ':1' to any word that represents a lexicalized metaphor. The final output should be a sequence where lexicalized metaphors are clearly marked, like this: 'word:1'.Only mark nouns, verbs and adjectives. 

Text for labelling:{text}","Let's work on a metaphor detection task together. I will give you a text, and I need your help to identify any metaphors used in it. List each word and append ':1' to any word that represents a metaphor. The final output should be a sequence where metaphors are clearly marked, like this: 'word:1'.Only mark nouns, verbs and adjectives. 

Text for labelling:{text}"
Specific Role or Approach,"Task: Detect Conventional Metaphorical Usage in Sentences

Please process the following sentences and detect any conventional metaphorical usages. For each word in the sentences, output one word per row. If a word is used conventional metaphorically, append ':1' to that word. Use an empty row to separate word lists from different sentences. 

Remember, a conventional metaphorical usage is where the contextual meaning of the word is different from its literal meaning, but the contextual meaning can be understood by comparison with the literal meaning, and this metaphorical meaning has been recognized and conventionalized in standard dictionaries.

Criteria for conventional metaphorical usage:

1. The word's contextual use must differ from its primary, literal meaning.
2. The metaphorical meaning should be established and documented in common language dictionaries.
3. Only mark the word as conventional metaphorical if you are certain the context warrants this usage over the literal meaning and is conventionalized.

Sentences to be processed: {text}","Your mission is to detect lexicalized metaphors. Remember, not every word with a non-literal meaning is a lexicalized metaphor, but only those that have been lexicalized in language.

List every word from the provided text. Words identified as lexicalized metaphors should be followed by "":1"", and each word or word:1 should be presented on a separate line.

Text for Analysis: {text}","Your mission is to detect metaphors. Remember, not every word with a non-literal meaning is a metaphor, but only those that have been ized in language.

List every word from the provided text. Words identified as metaphors should be followed by "":1"", and each word or word:1 should be presented on a separate line.

Text for Analysis: {text}","Your mission is to detect conventional metaphors. Remember, not every word with a non-literal meaning is a conventional metaphor, but only those that have been conventionalized in language.

List every word from the provided text. Words identified as conventional metaphors should be followed by "":1"", and each word or word:1 should be presented on a separate line.Only mark nouns, verbs and adjectives. 

Text for Analysis: {text}","Your mission is to detect lexicalized metaphors. Remember, not every word with a non-literal meaning is a lexicalized metaphor, but only those that have been lexicalized in language.

List every word from the provided text. Words identified as lexicalized metaphors should be followed by "":1"", and each word or word:1 should be presented on a separate line.Only mark nouns, verbs and adjectives. 

Text for Analysis: {text}","Your mission is to detect metaphors. Remember, not every word with a non-literal meaning is a metaphor, but only those that have been ized in language.

List every word from the provided text. Words identified as metaphors should be followed by "":1"", and each word or word:1 should be presented on a separate line.Only mark nouns, verbs and adjectives. 

Text for Analysis: {text}"
Background Information with Metaphor Identification Process,"Your task is to engage in conventional metaphor detection for a number of provided English sentences. When given a set of unmarked sentences, you will dissect each sentence by listing each constituent word individually on a separate row. Should you determine that a word  functions as a conventional metaphor, you are to denote this by appending ':1' after the respective word. Use an empty row to separate word lists from different sentences

Sentences: {text}","Your task is to engage in lexicalized metaphor detection for a number of provided English sentences. When given an unmarked sentence, you will dissect it by listing each constituent word individually on a separate line. Should you determine that a word  functions as a lexicalized metaphor, you are to denote this by appending ':1' after the respective word. Let us embark on this analytical endeavor.

Sentences: {text}","Your task is to engage in metaphor detection for a number of provided English sentences. When given an unmarked sentence, you will dissect it by listing each constituent word individually on a separate line. Should you determine that a word functions as a metaphor, you are to denote this by appending ':1' after the respective word. Let us embark on this analytical endeavor.

Text: {text}","Your task is to engage in conventional metaphor detection for a number of provided English sentences. When given an unmarked sentence, you will dissect it by listing each constituent word individually on a separate line. Should you determine that a word  functions as a conventional metaphor, you are to denote this by appending ':1' after the respective word. Only mark nouns, verbs and adjectives. Let us embark on this analytical endeavor.

Text: {text}","Your task is to engage in lexicalized metaphor detection for a number of provided English sentences. When given an unmarked sentence, you will dissect it by listing each constituent word individually on a separate line. Should you determine that a word  functions as a lexicalized metaphor, you are to denote this by appending ':1' after the respective word. Only mark nouns, verbs and adjectives. Let us embark on this analytical endeavor.

Text: {text}","Your task is to engage in metaphor detection for a number of provided English sentences. When given an unmarked sentence, you will dissect it by listing each constituent word individually on a separate line. Should you determine that a word functions as a metaphor, you are to denote this by appending ':1' after the respective word. Only mark nouns, verbs and adjectives. Let us embark on this analytical endeavor.

Text: {text}"
Background Information with Metaphor Identification Process,"A conventional metaphor is a figure of speech that is widely used and understood within a culture, often so commonplace that it's considered a standard way of expressing a particular concept. Your task will be to detect conventional metaphors within given sentences. 

Please analyze the following sentences and output every word of each sentence,one word per row, with "":1"" appended to any word that is part of a conventional metaphor. Use an empty row to separate word lists from different sentences:
{text}","A lexicalized metaphor is a figure of speech that is widely used and understood within a culture, often so commonplace that it's considered a standard way of expressing a particular concept. For instance, expressions equating time with a valuable resource. Your task will be to identify lexicalized metaphors within given sentences. 

Please analyze the following sentences and output each word, with "":1"" appended to any word that is part of a lexicalized metaphor:
{text}","A metaphor is a figure of speech that is widely used and understood within a culture, often so commonplace that it's considered a standard way of expressing a particular concept. For instance, expressions equating time with a valuable resource. Your task will be to identify metaphors within given sentences. 

Please analyze the following sentences and output each word, with "":1"" appended to any word that is part of a metaphor:
{text}","A conventional metaphor is a figure of speech that is widely used and understood within a culture, often so commonplace that it's considered a standard way of expressing a particular concept. For instance, expressions equating time with a valuable resource. Your task will be to identify conventional metaphors within given sentences. 

Please analyze the following sentences and output each word, with "":1"" appended to any word that is part of a conventional metaphor. Only mark nouns, verbs and adjectives:
{text}","A lexicalized metaphor is a figure of speech that is widely used and understood within a culture, often so commonplace that it's considered a standard way of expressing a particular concept. For instance, expressions equating time with a valuable resource. Your task will be to identify lexicalized metaphors within given sentences. 

Please analyze the following sentences and output each word, with "":1"" appended to any word that is part of a lexicalized metaphor. Only mark nouns, verbs and adjectives:
{text}","A metaphor is a figure of speech that is widely used and understood within a culture, often so commonplace that it's considered a standard way of expressing a particular concept. For instance, expressions equating time with a valuable resource. Your task will be to identify metaphors within given sentences. 

Please analyze the following sentences and output each word, with "":1"" appended to any word that is part of a metaphor. Only mark nouns, verbs and adjectives: 
{text}"
Background Information,"You will be trained to recognize conventional metaphors, which are figures of speech that are commonly understood by a particular culture or society to mean something other than their literal meaning. 

Now, analyze a set of senences and output each word individually, one word per row, marking any conventional metaphors with "":1"". Use an empty row to separate word lists from different sentences:
{text}","You will be trained to recognize lexicalized metaphors, which are figures of speech that are commonly understood by a particular culture or society to mean something other than their literal meaning. 

Now, analyze the following text and output each word individually, one word per row, marking any lexicalized metaphors with "":1"":
{text}","You will be trained to recognize metaphors, which are figures of speech that are commonly understood by a particular culture or society to mean something other than their literal meaning. 

Now, analyze the following text and output each word individually, one word per row, marking any metaphors with "":1"":
{text}","You will be trained to recognize conventional metaphors, which are figures of speech that are commonly understood by a particular culture or society to mean something other than their literal meaning. 

Now, analyze the following text and output each word individually, one word per row, marking any conventional metaphors with "":1"". Only mark nouns, verbs and adjectives:
{text}","You will be trained to recognize lexicalized metaphors, which are figures of speech that are commonly understood by a particular culture or society to mean something other than their literal meaning. 

Now, analyze the following text and output each word individually, one word per row, marking any lexicalized metaphors with "":1"". Only mark nouns, verbs and adjectives:
{text}","You will be trained to recognize metaphors, which are figures of speech that are commonly understood by a particular culture or society to mean something other than their literal meaning. 

Now, analyze the following text and output each word individually, one word per row, marking any metaphors with "":1"". Only mark nouns, verbs and adjectives:
{text}"
Background Information,"Contextual Understanding
Metaphors are a key element of language, allowing us to convey complex ideas and emotions in a relatable way. A conventional metaphor is a figure of speech that is well established, widely recognized, and commonly used in everyday language.

Metaphor detection Task
Now, list each word individually in each following sentences and annotate those which are used as conventional metaphors with ':1'. Use an empty row to separate word lists from different sentences. Consider the broader context and the commonality of the metaphorical expression in everyday language.

Input sentences: {text}

Remember to evaluate each word within the context it is used in. Some words might typically be metaphorical but can be literal in certain contexts, and vice versa.
","Contextual Understanding
Metaphors are a key element of language, allowing us to convey complex ideas and emotions in a relatable way. A lexicalized metaphor is a figure of speech that is well established, widely recognized, and commonly used in everyday language.

Metaphor Identification Task
Now, list each word individually in the following text and annotate those which are used as lexicalized metaphors with ':1'. Consider the broader context and the commonality of the metaphorical expression in everyday language.

Input Sentences: {text}

Remember to evaluate each word within the context it is used in. Some words might typically be metaphorical but can be literal in certain contexts, and vice versa.
","Contextual Understanding
Metaphors are a key element of language, allowing us to convey complex ideas and emotions in a relatable way. A metaphor is a figure of speech that is well established, widely recognized, and commonly used in everyday language.

Metaphor Identification Task
Now, list each word individually in the following text and annotate those which are used as metaphors with ':1'. Consider the broader context and the commonality of the metaphorical expression in everyday language.

Input text: {text}

Remember to evaluate each word within the context it is used in. Some words might typically be metaphorical but can be literal in certain contexts, and vice versa.
","Contextual Understanding
Metaphors are a key element of language, allowing us to convey complex ideas and emotions in a relatable way. A conventional metaphor is a figure of speech that is well established, widely recognized, and commonly used in everyday language.

Metaphor Identification Task
Now, list each word individually in the following text and annotate those which are used as conventional metaphors with ':1'. Only mark nouns, verbs and adjectives. Consider the broader context and the commonality of the metaphorical expression in everyday language.

Input text: {text}

Remember to evaluate each word within the context it is used in. Some words might typically be metaphorical but can be literal in certain contexts, and vice versa.
","Contextual Understanding
Metaphors are a key element of language, allowing us to convey complex ideas and emotions in a relatable way. A lexicalized metaphor is a figure of speech that is well established, widely recognized, and commonly used in everyday language.

Metaphor Identification Task
Now, list each word individually in the following text and annotate those which are used as lexicalized metaphors with ':1'. Only mark nouns, verbs and adjectives. Consider the broader context and the commonality of the metaphorical expression in everyday language.

Input text: {text}

Remember to evaluate each word within the context it is used in. Some words might typically be metaphorical but can be literal in certain contexts, and vice versa.
","Contextual Understanding
Metaphors are a key element of language, allowing us to convey complex ideas and emotions in a relatable way. A metaphor is a figure of speech that is well established, widely recognized, and commonly used in everyday language.

Metaphor Identification Task
Now, list each word individually in the following text and annotate those which are used as metaphors with ':1'. Only mark nouns, verbs and adjectives. Consider the broader context and the commonality of the metaphorical expression in everyday language.

Input text: {text}

Remember to evaluate each word within the context it is used in. Some words might typically be metaphorical but can be literal in certain contexts, and vice versa.
"
Background Information,"Context: Metaphors are figures of speech where a word or phrase is applied to an object or action to which it's not literally applicable. Conventional metaphors are of high frequency in daily usage and the meanings have been lexicalized in dictionary senses. 

Guidelines:

Pay close attention to words that represent one thing in terms of another.
Focus on widely recognized and used metaphors.
Only mark words that are explicitly metaphorical in the given context.

Based on the guidelines, process the following sentences. List every word from each sentence, one word per row, and mark conventional metaphorical words with ':1'. Use an empty row to separate word lists from different sentences.

Sentences: {text}","Context: Metaphors are figures of speech where a word or phrase is applied to an object or action to which it's not literally applicable. Lexicalized metaphors are of high frequency in daily usage and the meanings have been lexicalized in dictionary senses. 

Guidelines:

Pay close attention to words that represent one thing in terms of another.
Focus on widely recognized and used metaphors.
Only mark words that are explicitly metaphorical in the given context.

Based on the guidelines and examples, process the following text.List every word from each sentence, one word per row, and mark lexicalized metaphorical words with ':1'. Use an empty row to separate word lists from different sentences.

Sentences: {text}","Context: Metaphors are figures of speech where a word or phrase is applied to an object or action to which it's not literally applicable. metaphors are of high frequency in daily usage and the meanings have been lexicalized in dictionary senses. 

Guidelines:

Pay close attention to words that represent one thing in terms of another.
Focus on widely recognized and used metaphors.
Only mark words that are explicitly metaphorical in the given context.

Based on the guidelines and examples, process the following text. List each word on a separate line and mark metaphorical words with ':1'.

Text: {text}","Context: Metaphors are figures of speech where a word or phrase is applied to an object or action to which it's not literally applicable. Conventional metaphors are of high frequency in daily usage and the meanings have been lexicalized in dictionary senses. 

Guidelines:

Pay close attention to words that represent one thing in terms of another.
Focus on widely recognized and used metaphors.
Only mark words that are explicitly metaphorical in the given context.

Based on the guidelines and examples, process the following text. List each word on a separate line and mark conventional metaphorical words with ':1'.Only mark nouns, verbs and adjectives. 

Text: {text}","Context: Metaphors are figures of speech where a word or phrase is applied to an object or action to which it's not literally applicable. Lexicalized metaphors are of high frequency in daily usage and the meanings have been lexicalized in dictionary senses. 

Guidelines:

Pay close attention to words that represent one thing in terms of another.
Focus on widely recognized and used metaphors.
Only mark words that are explicitly metaphorical in the given context.

Based on the guidelines and examples, process the following text. List each word on a separate line and mark lexicalized metaphorical words with ':1'.Only mark nouns, verbs and adjectives. 

Text: {text}","Context: Metaphors are figures of speech where a word or phrase is applied to an object or action to which it's not literally applicable. metaphors are of high frequency in daily usage and the meanings have been lexicalized in dictionary senses. 

Guidelines:

Pay close attention to words that represent one thing in terms of another.
Focus on widely recognized and used metaphors.
Only mark words that are explicitly metaphorical in the given context.

Based on the guidelines and examples, process the following text. List each word on a separate line and mark metaphorical words with ':1'.Only mark nouns, verbs and adjectives. 

Text: {text}"
Background Information with Metaphor Identification Process,"Objective: detect conventional metaphors within the provided sentences by considering the context and overall message. Analyze each sentence to differentiate between literal language and metaphorical usage.

Criteria for Conventional Metaphors:

1. The metaphorical usage must be of high frequency and commonly understood.
2. It should be conventional, meaning it's recognized in dictionaries with its metaphorical meaning.

Instructions:

1. Read each input sentence thoroughly to understand its context and intent.
2. Detect words or phrases used metaphorically.
3. Check if these metaphorical uses are common and listed in dictionary entries as such.
4. Compile a list of all the words from each sentence.
5. Mark each conventional metaphor with ':1'.

Input sentences: {text}

Output:
Provide a list of all the words of each input sentences, one word per row, with conventional metaphorical words marked with ':1'. Use an empty row to separate word lists from different sentences.","Objective: detect lexicalized metaphors within the provided sentences by considering the context and overall message. Analyze each sentence to differentiate between literal language and metaphorical usage.

Criteria for Lexicalized Metaphors:

1. The metaphorical usage must be of high frequency and commonly understood.
2. It should be lexicalized, meaning it's recognized in dictionaries with its metaphorical meaning.

Instructions:

1. Read each input sentence thoroughly to understand its context and intent.
2. Detect words or phrases used metaphorically.
3. Check if these metaphorical uses are common and listed in dictionary entries as such.
4. Compile a list of all the words from each sentence.
5. Mark each lexicalized metaphor with ':1'.

Input Sentences: {text}

Output:
Provide a list of all the words of each input sentences, one word per row, with lexicalized metaphorical words marked with ':1'. Use an empty row to separate word lists from different sentences.","Objective: detect metaphors within the provided sentences by considering the context and overall message. Analyze each sentence to differentiate between literal language and metaphorical usage.

Instructions:

1. Read each input sentence thoroughly to understand its context and intent.
2. Identify words or phrases used metaphorically.
3. Check if these metaphorical uses are common and listed in dictionary entries as such.
4. Compile a list of all the words from each sentence.
5. Mark each metaphor with ':1'.

Input sentences: {text}

Output:
Provide a list of all the words of each input sentences, one word per row, with metaphorical words marked with ':1'. Use an empty row to separate word lists from different sentences.","Objective: detect conventional metaphors within the provided sentences by considering the context and overall message. Analyze each sentence to differentiate between literal language and metaphorical usage.

Criteria for Conventional Metaphors:

1. The metaphorical usage must be of high frequency and commonly understood.
2. It should be conventional, meaning it's recognized in dictionaries with its metaphorical meaning.

Instructions:

1. Read each input sentence thoroughly to understand its context and intent.
2. Identify words or phrases used metaphorically.
3. Check if these metaphorical uses are common and listed in dictionary entries as such.
4. Compile a list of all the words from each sentence.
5. Mark each conventional metaphor with ':1'.
6. Only mark nouns, verbs and adjectives. 
Input sentences: {text}

Output:
Provide a list of all the words of each input sentences, one word per row, with conventional metaphorical words marked with ':1'. Use an empty row to separate word lists from different sentences.","Objective: detect lexicalized metaphors within the provided sentences by considering the context and overall message. Analyze each sentence to differentiate between literal language and metaphorical usage.

Criteria for Lexicalized Metaphors:

1. The metaphorical usage must be of high frequency and commonly understood.
2. It should be lexicalized, meaning it's recognized in dictionaries with its metaphorical meaning.

Instructions:

1. Read each input sentence thoroughly to understand its context and intent.
2. Identify words or phrases used metaphorically.
3. Check if these metaphorical uses are common and listed in dictionary entries as such.
4. Compile a list of all the words from each sentence.
5. Mark each lexicalized metaphor with ':1'.
6. Only mark nouns, verbs and adjectives. 
Input sentences: {text}

Output:
Provide a list of all the words of each input sentences, one word per row, with lexicalized metaphorical words marked with ':1'. Use an empty row to separate word lists from different sentences.","Objective: detect metaphors within the provided sentences by considering the context and overall message. Analyze each sentence to differentiate between literal language and metaphorical usage.

Instructions:

1. Read each input sentence thoroughly to understand its context and intent.
2. Identify words or phrases used metaphorically.
3. Check if these metaphorical uses are common and listed in dictionary entries as such.
4. Compile a list of all the words from each sentence.
5. Mark each metaphor with ':1'.
6. Only mark nouns, verbs and adjectives. 
Input sentences: {text}

Output:
Provide a list of all the words of each input sentences, one word per row, with metaphorical words marked with ':1'. Use an empty row to separate word lists from different sentences."
Revised from Manual Annotation Process,"Below is a workflow for conventional metaphor detection. Please go through the steps but just output the results of step 3:
1. Input Sentences:
   {text}
2. Apply the metaphor detection procedure to each input sentence:
   a. Read the input sentence thoroughly to establish a general understanding of its thematic content.
   b. detect all the lexical units (words and phrases) within the input sentence.
   c. For each lexical unit, perform the following:
      i. Determine its contextual meaning within the input sentence.
      ii. Confirm if this meaning is documented in standard dictionaries.
      iii. Compare the contextual meaning to the lexical unit's basic meaning in more common usage.
      iv. If the lexical unit has a metaphorical use that can be understood from its basic meaning, even though there is a contrast, mark it as conventioanl metaphorical.
3. Output every word of the input sentences sequentially, one word per row. For each conventional metaphorical word detected, append ':1' to signify its conventional metaphorical usage. Use an empty row to separate word lists from different sentences.","Below is a workflow for lexicalized metaphor detection. Please go through the steps but just output the results of step 3:
1. Input Sentences:
   {text}
2. Apply the metaphor identification procedure to each input sentence:
   a. Read the input sentence thoroughly to establish a general understanding of its thematic content.
   b. Identify all the lexical units (words and phrases) within the input sentence.
   c. For each lexical unit, perform the following:
      i. Determine its contextual meaning within the input sentence.
      ii. Confirm if this meaning is documented in standard dictionaries.
      iii. Compare the contextual meaning to the lexical unit's basic meaning in more common usage.
      iv. If the lexical unit has a metaphorical use that can be understood from its basic meaning, even though there is a contrast, mark it as lexicalized metaphorical.
3. Output every word of the input sentences sequentially, one word per row. For each lexicalized metaphorical word detected, append ':1' to signify its lexicalized metaphorical usage. Use an empty row to separate word lists from different sentences.","Below is a workflow for metaphor detection. Please go through the steps but just output the results of step 3:
1. Input Sentences:
   {text}
2. Apply the metaphor identification procedure to each input sentence:
 a. Read the input sentence thoroughly to establish a general understanding of its thematic content.
 b. Identify all the lexical units (words and phrases) within the input sentence.
 c. For each lexical unit, perform the following:
 i. Determine its contextual meaning within the input text.
 ii. Compare the contextual meaning to the lexical unit's basic meaning in more common usage.
 iii. If the lexical unit has a metaphorical use that can be understood from its basic meaning, even though there is a contrast, mark it as metaphorical.
3. Output every word of the input sentences sequentially, one word per row. For each metaphorical word detected, append ':1' to signify its metaphorical usage. Use an empty row to separate word lists from different sentences.","Below is a workflow for conventional metaphor detection. Please go through the steps but just output the results of step 3:
1. Input Sentences:
   {text}
2. Apply the metaphor identification procedure to each input sentence:
   a. Read the input sentence thoroughly to establish a general understanding of its thematic content.
   b. Identify all the lexical units (words and phrases) within the input sentence.
   c. For each lexical unit, perform the following:
      i. Determine its contextual meaning within the input sentence.
      ii. Confirm if this meaning is documented in standard dictionaries.
      iii. Compare the contextual meaning to the lexical unit's basic meaning in more common usage.
      iv. If the lexical unit has a conventional metaphorical use that can be understood from its basic meaning, even though there is a contrast, mark it as metaphorical.
3. Output every word of the input sentences sequentially, one word per row. For each conventional metaphorical word detected,which is noun, verb or adjective, append ':1' to signify its conventional metaphorical usage. Use an empty row to separate word lists from different sentences. ","Below is a workflow for lexicalized metaphor detection. Please go through the steps but just output the results of step 3 and 4:
1. Input Sentences:
   {text}
2. Apply the metaphor identification procedure to each input sentence:
   a. Read the input sentence thoroughly to establish a general understanding of its thematic content.
   b. Identify all the lexical units (words and phrases) within the input sentence.
   c. For each lexical unit, perform the following:
      i. Determine its contextual meaning within the input sentence.
      ii. Confirm if this meaning is documented in standard dictionaries.
      iii. Compare the contextual meaning to the lexical unit's basic meaning in more common usage.
      iv. If the lexical unit has a metaphorical use that can be understood from its basic meaning, even though there is a contrast, mark it as lexicalized metaphorical.
3. Output every word of the input sentences sequentially, one word per row. For each metaphorical word detected,which is noun, verb or adjective, append ':1' to signify its lexicalized metaphorical usage. Use an empty row to separate word lists from different sentences. ","Below is a workflow for metaphor detection. Please go through the steps but just output the results of step 3:
1. Input Sentences:
   {text}
2. Apply the metaphor identification procedure to each input sentence:
 a. Read the input sentence thoroughly to establish a general understanding of its thematic content.
 b. Identify all the lexical units (words and phrases) within the input sentence.
 c. For each lexical unit, perform the following:
 i. Determine its contextual meaning within the input sentence.
 ii. Compare the contextual meaning to the lexical unit's basic meaning in more common usage.
 iii. If the lexical unit has a metaphorical use that can be understood from its basic meaning, even though there is a contrast, mark it as metaphorical.
3. Output every word of the input sentences sequentially, one word per row. For each metaphorical word detected,which is noun, verb or adjective, append ':1' to signify its etaphorical usage. Use an empty row to separate word lists from different sentences. "
